dataset,seed,noise_rate,pretrain_fraction,pool_index,sample_id,y_train,true_y,is_noisy,is_duplicate,group_id,projection,projection_source,projection_x,projection_y
manifold_group_noise_fashion_mnist,0,0.1,0.0,0,0,1,1,0,1,5043,pca,embedding,-0.8923220763993547,-0.0654162054656785
manifold_group_noise_fashion_mnist,0,0.1,0.0,1,1,1,1,0,1,5047,pca,embedding,0.7359654595970002,-0.3933056832986886
manifold_group_noise_fashion_mnist,0,0.1,0.0,2,2,1,1,0,0,2,pca,embedding,0.5188172613019968,-0.2885178038824393
manifold_group_noise_fashion_mnist,0,0.1,0.0,3,3,0,0,0,1,5014,pca,embedding,0.4074563955430733,-0.8576257726845001
manifold_group_noise_fashion_mnist,0,0.1,0.0,4,4,0,0,0,1,5008,pca,embedding,-0.8422844831377656,-0.026917451171166635
manifold_group_noise_fashion_mnist,0,0.1,0.0,5,5,1,1,0,1,5037,pca,embedding,-0.9580280240060483,0.08333890666241656
manifold_group_noise_fashion_mnist,0,0.1,0.0,6,6,0,1,1,1,5034,pca,embedding,-0.1823320278503068,-0.07631481612649957
manifold_group_noise_fashion_mnist,0,0.1,0.0,7,7,1,1,0,0,7,pca,embedding,0.5798375730307429,-0.3584181364673896
manifold_group_noise_fashion_mnist,0,0.1,0.0,8,8,1,1,0,1,5035,pca,embedding,-0.6907325892166274,-0.031989763750844905
manifold_group_noise_fashion_mnist,0,0.1,0.0,9,9,1,1,0,1,5037,pca,embedding,-0.9580280240060483,0.08333890666241656
manifold_group_noise_fashion_mnist,0,0.1,0.0,10,10,0,0,0,1,5018,pca,embedding,-0.7068305076471434,-0.2727428370183327
manifold_group_noise_fashion_mnist,0,0.1,0.0,11,11,1,1,0,1,5044,pca,embedding,-0.9436233203202156,-0.022410175201620586
manifold_group_noise_fashion_mnist,0,0.1,0.0,12,12,0,0,0,1,5020,pca,embedding,-0.9053120704472428,0.11838192333920014
manifold_group_noise_fashion_mnist,0,0.1,0.0,13,13,1,1,0,1,5033,pca,embedding,0.12972042356306965,0.002901868205172085
manifold_group_noise_fashion_mnist,0,0.1,0.0,14,14,1,1,0,1,5031,pca,embedding,-0.9731370356925513,0.12674329711315718
manifold_group_noise_fashion_mnist,0,0.1,0.0,15,15,1,1,0,1,5029,pca,embedding,0.0722772733302749,0.22408685556570984
manifold_group_noise_fashion_mnist,0,0.1,0.0,16,16,0,0,0,1,5018,pca,embedding,-0.6619098906867765,0.16477498203300273
manifold_group_noise_fashion_mnist,0,0.1,0.0,17,17,0,0,0,1,5019,pca,embedding,0.20504549331296576,0.5388029697126056
manifold_group_noise_fashion_mnist,0,0.1,0.0,18,18,0,1,1,1,5034,pca,embedding,-0.29932229024069257,-0.31215301073798424
manifold_group_noise_fashion_mnist,0,0.1,0.0,19,19,0,0,0,1,5023,pca,embedding,-0.20106258275528202,0.5873934191056738
manifold_group_noise_fashion_mnist,0,0.1,0.0,20,20,1,1,0,1,5039,pca,embedding,0.3849742351500364,0.5273415814451405
manifold_group_noise_fashion_mnist,0,0.1,0.0,21,21,1,1,0,1,5051,pca,embedding,-0.282598653783137,0.13936205886702524
manifold_group_noise_fashion_mnist,0,0.1,0.0,22,22,0,0,0,1,5015,pca,embedding,0.36309635343966606,0.1356549376983435
manifold_group_noise_fashion_mnist,0,0.1,0.0,23,23,1,1,0,1,5033,pca,embedding,-0.10442203587564625,-0.17973282596100293
manifold_group_noise_fashion_mnist,0,0.1,0.0,24,24,0,0,0,1,5021,pca,embedding,-0.34935337459515076,0.4942954621587609
manifold_group_noise_fashion_mnist,0,0.1,0.0,25,25,0,0,0,1,5012,pca,embedding,0.35121201924219164,-0.7333911377239968
manifold_group_noise_fashion_mnist,0,0.1,0.0,26,26,0,0,0,1,5017,pca,embedding,0.1597064226827385,-0.6246671635117624
