dataset,seed,noise_rate,pretrain_fraction,pool_index,sample_id,y_train,true_y,is_noisy,is_duplicate,group_id,projection,projection_source,projection_x,projection_y
boundary_duplicate_fashion_mnist,0,0.3,0.3,0,0,0,0,0,1,0,pca,raw,8.176984685718747,6.820752294211845
boundary_duplicate_fashion_mnist,0,0.3,0.3,1,1,1,1,0,1,0,pca,raw,-11.114019318398851,6.282513307744281
boundary_duplicate_fashion_mnist,0,0.3,0.3,2,3,0,0,0,1,0,pca,raw,-2.1273017943987336,6.905540325684597
boundary_duplicate_fashion_mnist,0,0.3,0.3,3,6,0,0,0,1,0,pca,raw,-4.760413971080176,2.1877011577809533
boundary_duplicate_fashion_mnist,0,0.3,0.3,4,9,1,0,1,1,0,pca,raw,-0.2833469058245651,9.852853420759317
boundary_duplicate_fashion_mnist,0,0.3,0.3,5,10,0,0,0,1,0,pca,raw,-10.794930291644722,5.404257669847182
boundary_duplicate_fashion_mnist,0,0.3,0.3,6,11,1,0,1,1,0,pca,raw,-9.891552869250836,6.015653629530516
boundary_duplicate_fashion_mnist,0,0.3,0.3,7,12,0,0,0,1,0,pca,raw,-14.61128480903095,2.233148666816281
boundary_duplicate_fashion_mnist,0,0.3,0.3,8,13,1,1,0,1,0,pca,raw,8.569353191181877,4.2589016651095255
boundary_duplicate_fashion_mnist,0,0.3,0.3,9,14,1,0,1,1,0,pca,raw,-16.478038103371535,2.25242865700615
boundary_duplicate_fashion_mnist,0,0.3,0.3,10,16,0,0,0,1,0,pca,raw,-6.93139228754119,5.472735615508745
boundary_duplicate_fashion_mnist,0,0.3,0.3,11,17,1,1,0,1,0,pca,raw,8.578696000669177,7.718043661705096
boundary_duplicate_fashion_mnist,0,0.3,0.3,12,18,0,0,0,1,0,pca,raw,-6.722869305402648,5.442217203157591
boundary_duplicate_fashion_mnist,0,0.3,0.3,13,20,1,1,0,1,0,pca,raw,-4.944464276942428,-8.520561228543023
boundary_duplicate_fashion_mnist,0,0.3,0.3,14,21,1,0,1,1,0,pca,raw,-9.741119145904857,1.055282305493498
boundary_duplicate_fashion_mnist,0,0.3,0.3,15,22,0,0,0,1,0,pca,raw,-6.380415057979497,3.162921762100879
boundary_duplicate_fashion_mnist,0,0.3,0.3,16,23,1,0,1,1,0,pca,raw,7.355566500228657,3.1112541026363223
boundary_duplicate_fashion_mnist,0,0.3,0.3,17,25,1,1,0,1,0,pca,raw,-22.059073624107707,-6.93662738701372
boundary_duplicate_fashion_mnist,0,0.3,0.3,18,26,0,0,0,1,0,pca,raw,-16.48547508021998,1.3772926435891686
boundary_duplicate_fashion_mnist,0,0.3,0.3,19,27,1,1,0,1,0,pca,raw,11.992448070984874,-9.331170510507516
boundary_duplicate_fashion_mnist,0,0.3,0.3,20,28,0,1,1,0,1,pca,raw,9.681330794762577,-0.5064228879423205
boundary_duplicate_fashion_mnist,0,0.3,0.3,21,29,1,1,0,1,0,pca,raw,-9.801442820293873,-5.112816691071643
boundary_duplicate_fashion_mnist,0,0.3,0.3,22,30,1,1,0,1,0,pca,raw,-20.345917904547992,-4.989485490265953
boundary_duplicate_fashion_mnist,0,0.3,0.3,23,34,0,1,1,1,0,pca,raw,-22.114062534440823,-3.9131048218934854
boundary_duplicate_fashion_mnist,0,0.3,0.3,24,36,1,0,1,1,0,pca,raw,-0.3368184494625537,9.112306166360847
boundary_duplicate_fashion_mnist,0,0.3,0.3,25,37,0,0,0,1,0,pca,raw,-23.65912438717285,-0.7142175094300698
boundary_duplicate_fashion_mnist,0,0.3,0.3,26,38,0,0,0,0,1,pca,raw,16.906662434592096,-8.604631121684378
boundary_duplicate_fashion_mnist,0,0.3,0.3,27,40,1,1,0,0,1,pca,raw,8.43029696692218,-8.037534483272045
boundary_duplicate_fashion_mnist,0,0.3,0.3,28,42,1,0,1,1,0,pca,raw,-10.252746833051305,6.082323303445181
boundary_duplicate_fashion_mnist,0,0.3,0.3,29,43,0,0,0,1,0,pca,raw,4.094488853421496,7.848646347598094
boundary_duplicate_fashion_mnist,0,0.3,0.3,30,44,0,0,0,1,0,pca,raw,4.0232680836692944,6.85851879559902
boundary_duplicate_fashion_mnist,0,0.3,0.3,31,45,1,0,1,1,0,pca,raw,7.797463596504166,-2.255025486509826
boundary_duplicate_fashion_mnist,0,0.3,0.3,32,47,1,1,0,1,0,pca,raw,15.325319123146066,-1.067432070066658
boundary_duplicate_fashion_mnist,0,0.3,0.3,33,48,0,1,1,1,0,pca,raw,11.162578498647749,-12.102917632503921
boundary_duplicate_fashion_mnist,0,0.3,0.3,34,49,1,1,0,1,0,pca,raw,-5.144512190953719,8.063399980041474
boundary_duplicate_fashion_mnist,0,0.3,0.3,35,50,0,0,0,1,0,pca,raw,-3.5316344020052766,3.9059178574810254
boundary_duplicate_fashion_mnist,0,0.3,0.3,36,53,1,1,0,1,0,pca,raw,-12.805041091701526,-7.482257352958373
boundary_duplicate_fashion_mnist,0,0.3,0.3,37,55,0,0,0,1,0,pca,raw,-6.771702292446081,4.1369542884123724
boundary_duplicate_fashion_mnist,0,0.3,0.3,38,56,1,1,0,1,0,pca,raw,-16.91676279937436,-6.759021149930682
boundary_duplicate_fashion_mnist,0,0.3,0.3,39,57,0,1,1,1,0,pca,raw,-23.64785433062394,-4.028010222020506
boundary_duplicate_fashion_mnist,0,0.3,0.3,40,58,0,0,0,1,0,pca,raw,-2.4246658632906515,6.64845134065849
boundary_duplicate_fashion_mnist,0,0.3,0.3,41,60,0,1,1,0,1,pca,raw,12.437658887445783,-8.547228225627547
boundary_duplicate_fashion_mnist,0,0.3,0.3,42,61,1,1,0,1,0,pca,raw,-2.7127253005923126,-8.579056392854993
boundary_duplicate_fashion_mnist,0,0.3,0.3,43,62,1,1,0,1,0,pca,raw,-0.04407615881880264,0.7879458208385669
boundary_duplicate_fashion_mnist,0,0.3,0.3,44,63,0,0,0,1,0,pca,raw,8.79454735747105,11.917731931209456
boundary_duplicate_fashion_mnist,0,0.3,0.3,45,65,1,1,0,1,0,pca,raw,4.546768687495515,8.49365178092171
boundary_duplicate_fashion_mnist,0,0.3,0.3,46,66,1,0,1,0,1,pca,raw,18.617279309212044,-9.712160474243696
boundary_duplicate_fashion_mnist,0,0.3,0.3,47,67,1,1,0,0,1,pca,raw,-0.05129015108500924,3.619222211120154
boundary_duplicate_fashion_mnist,0,0.3,0.3,48,69,1,1,0,1,0,pca,raw,16.280415304093342,-11.81258411193981
boundary_duplicate_fashion_mnist,0,0.3,0.3,49,70,0,1,1,1,0,pca,raw,-10.881656153174111,-5.005924589134175
boundary_duplicate_fashion_mnist,0,0.3,0.3,50,71,1,1,0,1,0,pca,raw,3.3274500032747283,-7.097806584722227
boundary_duplicate_fashion_mnist,0,0.3,0.3,51,72,0,1,1,1,0,pca,raw,15.359104027698113,-10.17913161451839
boundary_duplicate_fashion_mnist,0,0.3,0.3,52,74,0,0,0,0,1,pca,raw,12.167487412370573,-6.356041034171403
boundary_duplicate_fashion_mnist,0,0.3,0.3,53,75,0,0,0,0,1,pca,raw,7.720541631556872,-6.4637060729081135
boundary_duplicate_fashion_mnist,0,0.3,0.3,54,76,0,0,0,1,0,pca,raw,11.448859954786528,10.215419204283174
boundary_duplicate_fashion_mnist,0,0.3,0.3,55,79,0,0,0,0,1,pca,raw,-18.190219564899323,-4.55196673940555
boundary_duplicate_fashion_mnist,0,0.3,0.3,56,80,0,0,0,1,0,pca,raw,-19.55321271889988,0.8028891364668493
boundary_duplicate_fashion_mnist,0,0.3,0.3,57,81,1,0,1,1,0,pca,raw,11.752845983426653,1.8578888179230537
boundary_duplicate_fashion_mnist,0,0.3,0.3,58,82,0,1,1,1,0,pca,raw,-1.0541563657815092,3.0721022330946686
boundary_duplicate_fashion_mnist,0,0.3,0.3,59,83,0,1,1,0,1,pca,raw,10.140233545403271,-8.770444566507289
boundary_duplicate_fashion_mnist,0,0.3,0.3,60,84,1,0,1,1,0,pca,raw,-9.7072791064589,-1.8635346145079676
boundary_duplicate_fashion_mnist,0,0.3,0.3,61,87,1,0,1,1,0,pca,raw,13.678612985581214,4.602259047652186
